,Unnamed: 0.1,Unnamed: 0,aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_raw_affiliation,aff_state,aff_state_code,pub_id,researcher_id,first_name,last_name,year,gender,gender_ints,income_class,income_class_num,isMinority_2020,isMinority_2022,Type2020,Type2022,MSI Type2020,MSI Type2022,full_name
22,4684,4684,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the Department of Computer Science and Engineering (J.S., L.P., T.L., D.A., D.B.), Institute for Health Informatics (G.B.M.M., E.K., C.J.T.), Department of Surgery (G.B.M.M., C.J.T.), Department of Medicine, Division of Pulmonary and Critical Care (N.E.I.), Department of Medicine (S.S.), and Department of Radiology (T.A.), University of Minnesota, 420 Delaware St SE, Minneapolis, MN 55455; Departments of Computer Science (Z.Z.) and Radiology (J.W.G.), Emory University, Atlanta, Ga; M Health Fairview Informatics, Minneapolis, Minn (E.M.); The School of Medicine (J.L.B., K.H.) and Department of Radiology (S.D.S.), Indiana University, Indianapolis, Ind; and Department of Surgery, North Memorial Health Hospital, Robbinsdale, Minn (C.J.T.).",Minnesota,US-MN,pub.1148356492,ur.014324613200.66,Ju,Sun,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Ju Sun
23,4687,4687,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the Department of Computer Science and Engineering (J.S., L.P., T.L., D.A., D.B.), Institute for Health Informatics (G.B.M.M., E.K., C.J.T.), Department of Surgery (G.B.M.M., C.J.T.), Department of Medicine, Division of Pulmonary and Critical Care (N.E.I.), Department of Medicine (S.S.), and Department of Radiology (T.A.), University of Minnesota, 420 Delaware St SE, Minneapolis, MN 55455; Departments of Computer Science (Z.Z.) and Radiology (J.W.G.), Emory University, Atlanta, Ga; M Health Fairview Informatics, Minneapolis, Minn (E.M.); The School of Medicine (J.L.B., K.H.) and Department of Radiology (S.D.S.), Indiana University, Indianapolis, Ind; and Department of Surgery, North Memorial Health Hospital, Robbinsdale, Minn (C.J.T.).",Minnesota,US-MN,pub.1148356492,ur.016070541765.02,Le,Peng,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Le Peng
24,4690,4690,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the Department of Computer Science and Engineering (J.S., L.P., T.L., D.A., D.B.), Institute for Health Informatics (G.B.M.M., E.K., C.J.T.), Department of Surgery (G.B.M.M., C.J.T.), Department of Medicine, Division of Pulmonary and Critical Care (N.E.I.), Department of Medicine (S.S.), and Department of Radiology (T.A.), University of Minnesota, 420 Delaware St SE, Minneapolis, MN 55455; Departments of Computer Science (Z.Z.) and Radiology (J.W.G.), Emory University, Atlanta, Ga; M Health Fairview Informatics, Minneapolis, Minn (E.M.); The School of Medicine (J.L.B., K.H.) and Department of Radiology (S.D.S.), Indiana University, Indianapolis, Ind; and Department of Surgery, North Memorial Health Hospital, Robbinsdale, Minn (C.J.T.).",Minnesota,US-MN,pub.1148356492,ur.016666122365.25,Taihui,Li,2022,,,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Taihui Li
25,4693,4693,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the Department of Computer Science and Engineering (J.S., L.P., T.L., D.A., D.B.), Institute for Health Informatics (G.B.M.M., E.K., C.J.T.), Department of Surgery (G.B.M.M., C.J.T.), Department of Medicine, Division of Pulmonary and Critical Care (N.E.I.), Department of Medicine (S.S.), and Department of Radiology (T.A.), University of Minnesota, 420 Delaware St SE, Minneapolis, MN 55455; Departments of Computer Science (Z.Z.) and Radiology (J.W.G.), Emory University, Atlanta, Ga; M Health Fairview Informatics, Minneapolis, Minn (E.M.); The School of Medicine (J.L.B., K.H.) and Department of Radiology (S.D.S.), Indiana University, Indianapolis, Ind; and Department of Surgery, North Memorial Health Hospital, Robbinsdale, Minn (C.J.T.).",Minnesota,US-MN,pub.1148356492,ur.07371331665.49,Dyah,Adila,2022,female,1.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Dyah Adila
26,4696,4696,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the Department of Computer Science and Engineering (J.S., L.P., T.L., D.A., D.B.), Institute for Health Informatics (G.B.M.M., E.K., C.J.T.), Department of Surgery (G.B.M.M., C.J.T.), Department of Medicine, Division of Pulmonary and Critical Care (N.E.I.), Department of Medicine (S.S.), and Department of Radiology (T.A.), University of Minnesota, 420 Delaware St SE, Minneapolis, MN 55455; Departments of Computer Science (Z.Z.) and Radiology (J.W.G.), Emory University, Atlanta, Ga; M Health Fairview Informatics, Minneapolis, Minn (E.M.); The School of Medicine (J.L.B., K.H.) and Department of Radiology (S.D.S.), Indiana University, Indianapolis, Ind; and Department of Surgery, North Memorial Health Hospital, Robbinsdale, Minn (C.J.T.).",Minnesota,US-MN,pub.1148356492,,Zach,Zaiman,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Zach Zaiman
27,4699,4699,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the Department of Computer Science and Engineering (J.S., L.P., T.L., D.A., D.B.), Institute for Health Informatics (G.B.M.M., E.K., C.J.T.), Department of Surgery (G.B.M.M., C.J.T.), Department of Medicine, Division of Pulmonary and Critical Care (N.E.I.), Department of Medicine (S.S.), and Department of Radiology (T.A.), University of Minnesota, 420 Delaware St SE, Minneapolis, MN 55455; Departments of Computer Science (Z.Z.) and Radiology (J.W.G.), Emory University, Atlanta, Ga; M Health Fairview Informatics, Minneapolis, Minn (E.M.); The School of Medicine (J.L.B., K.H.) and Department of Radiology (S.D.S.), Indiana University, Indianapolis, Ind; and Department of Surgery, North Memorial Health Hospital, Robbinsdale, Minn (C.J.T.).",Minnesota,US-MN,pub.1148356492,ur.01056335542.63,Genevieve B.,Melton-Meaux,2022,female,1.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Genevieve B. Melton-Meaux
28,4702,4702,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the Department of Computer Science and Engineering (J.S., L.P., T.L., D.A., D.B.), Institute for Health Informatics (G.B.M.M., E.K., C.J.T.), Department of Surgery (G.B.M.M., C.J.T.), Department of Medicine, Division of Pulmonary and Critical Care (N.E.I.), Department of Medicine (S.S.), and Department of Radiology (T.A.), University of Minnesota, 420 Delaware St SE, Minneapolis, MN 55455; Departments of Computer Science (Z.Z.) and Radiology (J.W.G.), Emory University, Atlanta, Ga; M Health Fairview Informatics, Minneapolis, Minn (E.M.); The School of Medicine (J.L.B., K.H.) and Department of Radiology (S.D.S.), Indiana University, Indianapolis, Ind; and Department of Surgery, North Memorial Health Hospital, Robbinsdale, Minn (C.J.T.).",Minnesota,US-MN,pub.1148356492,ur.01322143060.24,Nicholas E.,Ingraham,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Nicholas E. Ingraham
29,4705,4705,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the Department of Computer Science and Engineering (J.S., L.P., T.L., D.A., D.B.), Institute for Health Informatics (G.B.M.M., E.K., C.J.T.), Department of Surgery (G.B.M.M., C.J.T.), Department of Medicine, Division of Pulmonary and Critical Care (N.E.I.), Department of Medicine (S.S.), and Department of Radiology (T.A.), University of Minnesota, 420 Delaware St SE, Minneapolis, MN 55455; Departments of Computer Science (Z.Z.) and Radiology (J.W.G.), Emory University, Atlanta, Ga; M Health Fairview Informatics, Minneapolis, Minn (E.M.); The School of Medicine (J.L.B., K.H.) and Department of Radiology (S.D.S.), Indiana University, Indianapolis, Ind; and Department of Surgery, North Memorial Health Hospital, Robbinsdale, Minn (C.J.T.).",Minnesota,US-MN,pub.1148356492,ur.012357233665.46,Eric,Murray,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Eric Murray
30,4708,4708,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the Department of Computer Science and Engineering (J.S., L.P., T.L., D.A., D.B.), Institute for Health Informatics (G.B.M.M., E.K., C.J.T.), Department of Surgery (G.B.M.M., C.J.T.), Department of Medicine, Division of Pulmonary and Critical Care (N.E.I.), Department of Medicine (S.S.), and Department of Radiology (T.A.), University of Minnesota, 420 Delaware St SE, Minneapolis, MN 55455; Departments of Computer Science (Z.Z.) and Radiology (J.W.G.), Emory University, Atlanta, Ga; M Health Fairview Informatics, Minneapolis, Minn (E.M.); The School of Medicine (J.L.B., K.H.) and Department of Radiology (S.D.S.), Indiana University, Indianapolis, Ind; and Department of Surgery, North Memorial Health Hospital, Robbinsdale, Minn (C.J.T.).",Minnesota,US-MN,pub.1148356492,ur.0702155050.55,Daniel,Boley,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Daniel Boley
31,4711,4711,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the Department of Computer Science and Engineering (J.S., L.P., T.L., D.A., D.B.), Institute for Health Informatics (G.B.M.M., E.K., C.J.T.), Department of Surgery (G.B.M.M., C.J.T.), Department of Medicine, Division of Pulmonary and Critical Care (N.E.I.), Department of Medicine (S.S.), and Department of Radiology (T.A.), University of Minnesota, 420 Delaware St SE, Minneapolis, MN 55455; Departments of Computer Science (Z.Z.) and Radiology (J.W.G.), Emory University, Atlanta, Ga; M Health Fairview Informatics, Minneapolis, Minn (E.M.); The School of Medicine (J.L.B., K.H.) and Department of Radiology (S.D.S.), Indiana University, Indianapolis, Ind; and Department of Surgery, North Memorial Health Hospital, Robbinsdale, Minn (C.J.T.).",Minnesota,US-MN,pub.1148356492,ur.013752174665.26,Sean,Switzer,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Sean Switzer
32,4714,4714,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the Department of Computer Science and Engineering (J.S., L.P., T.L., D.A., D.B.), Institute for Health Informatics (G.B.M.M., E.K., C.J.T.), Department of Surgery (G.B.M.M., C.J.T.), Department of Medicine, Division of Pulmonary and Critical Care (N.E.I.), Department of Medicine (S.S.), and Department of Radiology (T.A.), University of Minnesota, 420 Delaware St SE, Minneapolis, MN 55455; Departments of Computer Science (Z.Z.) and Radiology (J.W.G.), Emory University, Atlanta, Ga; M Health Fairview Informatics, Minneapolis, Minn (E.M.); The School of Medicine (J.L.B., K.H.) and Department of Radiology (S.D.S.), Indiana University, Indianapolis, Ind; and Department of Surgery, North Memorial Health Hospital, Robbinsdale, Minn (C.J.T.).",Minnesota,US-MN,pub.1148356492,ur.014547555265.27,John L.,Burns,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,John L. Burns
33,4717,4717,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the Department of Computer Science and Engineering (J.S., L.P., T.L., D.A., D.B.), Institute for Health Informatics (G.B.M.M., E.K., C.J.T.), Department of Surgery (G.B.M.M., C.J.T.), Department of Medicine, Division of Pulmonary and Critical Care (N.E.I.), Department of Medicine (S.S.), and Department of Radiology (T.A.), University of Minnesota, 420 Delaware St SE, Minneapolis, MN 55455; Departments of Computer Science (Z.Z.) and Radiology (J.W.G.), Emory University, Atlanta, Ga; M Health Fairview Informatics, Minneapolis, Minn (E.M.); The School of Medicine (J.L.B., K.H.) and Department of Radiology (S.D.S.), Indiana University, Indianapolis, Ind; and Department of Surgery, North Memorial Health Hospital, Robbinsdale, Minn (C.J.T.).",Minnesota,US-MN,pub.1148356492,ur.015345135665.22,Kun,Huang,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Kun Huang
34,4720,4720,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the Department of Computer Science and Engineering (J.S., L.P., T.L., D.A., D.B.), Institute for Health Informatics (G.B.M.M., E.K., C.J.T.), Department of Surgery (G.B.M.M., C.J.T.), Department of Medicine, Division of Pulmonary and Critical Care (N.E.I.), Department of Medicine (S.S.), and Department of Radiology (T.A.), University of Minnesota, 420 Delaware St SE, Minneapolis, MN 55455; Departments of Computer Science (Z.Z.) and Radiology (J.W.G.), Emory University, Atlanta, Ga; M Health Fairview Informatics, Minneapolis, Minn (E.M.); The School of Medicine (J.L.B., K.H.) and Department of Radiology (S.D.S.), Indiana University, Indianapolis, Ind; and Department of Surgery, North Memorial Health Hospital, Robbinsdale, Minn (C.J.T.).",Minnesota,US-MN,pub.1148356492,ur.016142516265.58,Tadashi,Allen,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Tadashi Allen
35,4723,4723,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the Department of Computer Science and Engineering (J.S., L.P., T.L., D.A., D.B.), Institute for Health Informatics (G.B.M.M., E.K., C.J.T.), Department of Surgery (G.B.M.M., C.J.T.), Department of Medicine, Division of Pulmonary and Critical Care (N.E.I.), Department of Medicine (S.S.), and Department of Radiology (T.A.), University of Minnesota, 420 Delaware St SE, Minneapolis, MN 55455; Departments of Computer Science (Z.Z.) and Radiology (J.W.G.), Emory University, Atlanta, Ga; M Health Fairview Informatics, Minneapolis, Minn (E.M.); The School of Medicine (J.L.B., K.H.) and Department of Radiology (S.D.S.), Indiana University, Indianapolis, Ind; and Department of Surgery, North Memorial Health Hospital, Robbinsdale, Minn (C.J.T.).",Minnesota,US-MN,pub.1148356492,ur.01246560025.17,Scott D.,Steenburg,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Scott D. Steenburg
36,4726,4726,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the Department of Computer Science and Engineering (J.S., L.P., T.L., D.A., D.B.), Institute for Health Informatics (G.B.M.M., E.K., C.J.T.), Department of Surgery (G.B.M.M., C.J.T.), Department of Medicine, Division of Pulmonary and Critical Care (N.E.I.), Department of Medicine (S.S.), and Department of Radiology (T.A.), University of Minnesota, 420 Delaware St SE, Minneapolis, MN 55455; Departments of Computer Science (Z.Z.) and Radiology (J.W.G.), Emory University, Atlanta, Ga; M Health Fairview Informatics, Minneapolis, Minn (E.M.); The School of Medicine (J.L.B., K.H.) and Department of Radiology (S.D.S.), Indiana University, Indianapolis, Ind; and Department of Surgery, North Memorial Health Hospital, Robbinsdale, Minn (C.J.T.).",Minnesota,US-MN,pub.1148356492,ur.0674034704.57,Judy Wawira,Gichoya,2022,female,1.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Judy Wawira Gichoya
37,4729,4729,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the Department of Computer Science and Engineering (J.S., L.P., T.L., D.A., D.B.), Institute for Health Informatics (G.B.M.M., E.K., C.J.T.), Department of Surgery (G.B.M.M., C.J.T.), Department of Medicine, Division of Pulmonary and Critical Care (N.E.I.), Department of Medicine (S.S.), and Department of Radiology (T.A.), University of Minnesota, 420 Delaware St SE, Minneapolis, MN 55455; Departments of Computer Science (Z.Z.) and Radiology (J.W.G.), Emory University, Atlanta, Ga; M Health Fairview Informatics, Minneapolis, Minn (E.M.); The School of Medicine (J.L.B., K.H.) and Department of Radiology (S.D.S.), Indiana University, Indianapolis, Ind; and Department of Surgery, North Memorial Health Hospital, Robbinsdale, Minn (C.J.T.).",Minnesota,US-MN,pub.1148356492,ur.011511262426.09,Erich,Kummerfeld,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Erich Kummerfeld
38,4732,4732,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the Department of Computer Science and Engineering (J.S., L.P., T.L., D.A., D.B.), Institute for Health Informatics (G.B.M.M., E.K., C.J.T.), Department of Surgery (G.B.M.M., C.J.T.), Department of Medicine, Division of Pulmonary and Critical Care (N.E.I.), Department of Medicine (S.S.), and Department of Radiology (T.A.), University of Minnesota, 420 Delaware St SE, Minneapolis, MN 55455; Departments of Computer Science (Z.Z.) and Radiology (J.W.G.), Emory University, Atlanta, Ga; M Health Fairview Informatics, Minneapolis, Minn (E.M.); The School of Medicine (J.L.B., K.H.) and Department of Radiology (S.D.S.), Indiana University, Indianapolis, Ind; and Department of Surgery, North Memorial Health Hospital, Robbinsdale, Minn (C.J.T.).",Minnesota,US-MN,pub.1148356492,ur.01045103044.18,Christopher J.,Tignanelli,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Christopher J. Tignanelli
40,5054,5054,Tempe,5317058.0,United States,US,grid.215654.1,Arizona State University,"Department of Radiology, (J W Gichoya MD, A R Bhimireddy MS, H Trivedi MD), and Department of Computer Science, (Z Zaiman), Emory University, Atlanta, GA, USA; School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, Tempe, AZ, USA, (I Banerjee PhD, R Correa BS);, School of Informatics and Computing, Indiana University–Purdue University, Indianapolis, IN, USA, (J L Burns MS, S Purkayastha PhD);, Institute for Medical Engineering and Science, (L A Celi MD, M Ghassemi PhD), and Department of Electrical Engineering and Computer Science, (M Ghassemi), Massachusetts Institute of Technology, Cambridge, MA, USA; Department of Medicine, Beth Israel Deaconess Medical Center, Boston, MA, USA, (L A Celi);, Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan, (L-C Chen BS, P-C Kuo PhD, R Wang BS);, Department of Computer Science, University of Toronto, Toronto, ON, Canada, (N Dullerud MS, L Seyyed-Kalantari PhD, H Zhang MS);, Stanford University School of Medicine, Palo Alto, CA, USA, (S-C Huang, M P Lungren MD);, Australian Institute for Machine Learning, (L Oakden-Rayner MD, L J Palmer PhD), and School of Public Health, (L J Palmer), University of Adelaide, Adelaide, SA, Australia; Florida State University College of Medicine, Tallahassee, FL, USA, (B J Price MD);, Dupage Medical Group, Hinsdale, IL, USA, (A T Pyrros MD);, Department of Computer Science, Georgia Institute of Technology, Atlanta, GA, USA, (C Okechukwu MS);, Lunenfeld-Tanenbaum Research Institute, Sinai Health, Toronto, ON, Canada, (L Seyyed-Kalantari);, Vector Institute for Artificial Intelligence, Toronto, ON, Canada, (L Seyyed-Kalantari)",Arizona,US-AZ,pub.1147806988,ur.016044442707.89,Imon,Banerjee,2022,male,0.0,High income,4.0,Arizona State University,Not Minority,Pub 4yr,Not Minority,HSI,Not Minority,Imon Banerjee
