,Unnamed: 0,aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_raw_affiliation,aff_state,aff_state_code,pub_id,researcher_id,first_name,last_name,year,gender,gender_ints,income_class,income_class_num,isMinority_2020,isMinority_2022,Type2020,Type2022,MSI Type2020,MSI Type2022
377,377,Houston,4699066.0,United States,US,grid.39382.33,Baylor College of Medicine,Baylor College of Medicine,Texas,US-TX,pub.1153648882,ur.01004633061.34,Barbara,Stoll,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
378,378,Houston,4699066.0,United States,US,grid.39382.33,Baylor College of Medicine,Baylor College of Medicine,Texas,US-TX,pub.1153648882,ur.01230160100.51,Inka,Didelija,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
380,380,Houston,4699066.0,United States,US,grid.39382.33,Baylor College of Medicine,Baylor College of Medicine,Texas,US-TX,pub.1153648882,,Miguel,Cruz,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
381,381,Houston,4699066.0,United States,US,grid.39382.33,Baylor College of Medicine,"Baylor College of Medicine, TX",Texas,US-TX,pub.1153648882,ur.015213746403.68,Vinod,Vijayan,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
393,393,St Louis,4407066.0,United States,US,grid.4367.6,Washington University in St. Louis,Washington University School of Medicine,Missouri,US-MO,pub.1153642398,ur.01023237556.43,Christopher,King,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
394,394,St Louis,4407066.0,United States,US,grid.4367.6,Washington University in St. Louis,Washington University in St. Louis School of Medicine,Missouri,US-MO,pub.1153642398,ur.07647657410.29,Joanna,Abraham,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
395,395,St Louis,4407066.0,United States,US,grid.4367.6,Washington University in St. Louis,"Washington University in Saint Louis School of Medicine, Saint Louis, MO",Missouri,US-MO,pub.1153642398,ur.013365026610.63,Christopher,Palmer,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
396,396,St Louis,4407066.0,United States,US,grid.4367.6,Washington University in St. Louis,Washington University School of Medicine,Missouri,US-MO,pub.1153642398,ur.010552454202.56,Alex,Kronzer,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
398,398,St Louis,4407066.0,United States,US,grid.239359.7,Barnes-Jewish Hospital,"Barnes-Jewish Hospital, Saint Louis, MO",Missouri,US-MO,pub.1153642398,ur.014757767610.48,Jason,White,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
399,399,St Louis,4407066.0,United States,US,grid.414521.7,BJC HealthCare,BJC Healthcare,Missouri,US-MO,pub.1153642398,ur.010621612022.46,Jill,Bertrand,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
402,402,St Louis,4407066.0,United States,US,grid.4367.6,Washington University in St. Louis,"Washington University in Saint Louis School of Medicine, Saint Louis, MO",Missouri,US-MO,pub.1153642398,ur.015134341622.41,Bradley,Fritz,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
403,403,Rochester,5043473.0,United States,US,grid.66875.3a,Mayo Clinic,"Mayo Clinic, Rochester, MN",Minnesota,US-MN,pub.1153642304,ur.0702053166.33,Patrick,Wieruszewski,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
404,404,Rochester,5043473.0,United States,US,grid.66875.3a,Mayo Clinic,Mayo Clinic,Minnesota,US-MN,pub.1153642304,ur.012766410440.49,Hannah,Brokmeier,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
405,405,Cleveland,5150529.0,United States,US,grid.239578.2,Cleveland Clinic,Cleveland Clinic Foundation,Ohio,US-OH,pub.1153642304,ur.015331001167.32,Mohammed,Hamzah,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
406,406,Rochester,5043473.0,United States,US,grid.66875.3a,Mayo Clinic,Mayo Clinic,Minnesota,US-MN,pub.1153642304,ur.01133126315.45,Troy,Seelhammer,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
407,407,Boston,4930956.0,United States,US,grid.32224.35,Massachusetts General Hospital,Massachusetts General Hospital and Harvard Medical School,Massachusetts,US-MA,pub.1153640500,ur.015133145255.05,Gloria Hyunjung,Kwak,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
408,408,Boston,4930956.0,United States,US,grid.239424.a,Boston Medical Center,Boston Medical Center,Massachusetts,US-MA,pub.1153640500,ur.012526461651.83,R.W.M.A,Madushani,2022,,,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
409,409,Andover,4929055.0,United States,US,grid.417285.d,Philips (United States),Philips Research North America,Massachusetts,US-MA,pub.1153640500,ur.012520113057.55,Lasith,Adhikari,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
410,410,Cambridge,4931972.0,United States,US,grid.38142.3c,Harvard University,Harvard Medical School,Massachusetts,US-MA,pub.1153640500,,April Yujie,Yan,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
411,411,Boston,4930956.0,United States,US,grid.239395.7,Beth Israel Deaconess Medical Center,"Massachusetts Institute of Technology and Beth Israel Deaconess Medical Center, MA",Massachusetts,US-MA,pub.1153640500,ur.01144416340.69,Leo Anthony,Celi,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
412,412,Boston,4930956.0,United States,US,grid.239395.7,Beth Israel Deaconess Medical Center,Beth Israel deaconess Medical Center,Massachusetts,US-MA,pub.1153640500,,Adrian,Wong,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
414,414,Memphis,4641239.0,United States,US,grid.267301.1,University of Tennessee Health Science Center,"University of Tennessee Health Science Center, Chattanooga, TN",Tennessee,US-TN,pub.1153640325,,Hayden,Schoeffler,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
415,415,Savannah,4221552.0,United States,US,grid.286844.4,Memorial Health University Medical Center,Memorial Health University Medical Center,Georgia,US-GA,pub.1153640325,,Nicholas,Carbo,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
416,416,Lebanon,5088597.0,United States,US,grid.413480.a,Dartmouth–Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,New Hampshire,US-NH,pub.1153640325,ur.016367451747.05,Garret,Duron,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
417,417,Savannah,4221552.0,United States,US,grid.286844.4,Memorial Health University Medical Center,Memorial Health University Medical Center,Georgia,US-GA,pub.1153640325,ur.012055353134.71,Domenick,Roma,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
418,418,Savannah,4221552.0,United States,US,grid.286844.4,Memorial Health University Medical Center,Memorial Health University Medical Center,Georgia,US-GA,pub.1153640325,ur.013643303202.48,Stephanie,Lesslie,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
419,419,Little Rock,4119403.0,United States,US,grid.194632.b,University of Arkansas System,University of Arkansas,Arkansas,US-AR,pub.1153640035,,Saima,Absar,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
420,420,Little Rock,4119403.0,United States,US,grid.194632.b,University of Arkansas System,University of Arkansas,Arkansas,US-AR,pub.1153640035,,Lu,Zhang,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
421,421,Morgantown,4815352.0,United States,US,grid.268154.c,West Virginia University,West Virginia University,West Virginia,US-WV,pub.1153640035,ur.0577374730.05,Donald,Adjeroh,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
422,422,Morgantown,4815352.0,United States,US,grid.268154.c,West Virginia University,"West Virginia University School of Medicine, Morgantown, WV",West Virginia,US-WV,pub.1153640035,ur.0634563623.38,Gregory,Schaefer,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
423,423,Morgantown,4815352.0,United States,US,grid.268154.c,West Virginia University,"West Virginia University, Morgantown, WV",West Virginia,US-WV,pub.1153640035,ur.016421107707.38,James,Bardes,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
499,499,Houston,4699066.0,United States,US,grid.267308.8,The University of Texas Health Science Center at Houston,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, Texas, USA",Texas,US-TX,pub.1153617849,,Fang,Chen,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
500,500,Houston,4699066.0,United States,US,grid.267308.8,The University of Texas Health Science Center at Houston,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, Texas, USA",Texas,US-TX,pub.1153617849,ur.016515316273.02,Lei,You,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
501,501,Houston,4699066.0,United States,US,grid.267308.8,The University of Texas Health Science Center at Houston,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, Texas, USA",Texas,US-TX,pub.1153617849,ur.01243160035.84,Weiling,Zhao,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
502,502,Houston,4699066.0,United States,US,grid.267308.8,The University of Texas Health Science Center at Houston,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, Texas, USA",Texas,US-TX,pub.1153617849,ur.01343751202.89,Xiaobo,Zhou,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
511,511,Cambridge,4931972.0,United States,US,grid.116068.8,Massachusetts Institute of Technology,"CSAIL, MIT, 32 Vassar St, Cambridge, MA 02139, USA. Electronic address: matthew_mcdermott@hms.harvard.edu.",Massachusetts,US-MA,pub.1153621197,ur.0667520412.14,Matthew B A,McDermott,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
513,513,Cambridge,4931972.0,United States,US,grid.116068.8,Massachusetts Institute of Technology,"CSAIL, MIT, 32 Vassar St, Cambridge, MA 02139, USA.",Massachusetts,US-MA,pub.1153621197,ur.0666527624.04,Peter,Szolovits,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
557,557,Pittsburgh,5206379.0,United States,US,grid.21925.3d,University of Pittsburgh,"Computer Science Department at the University of Pittsburgh, Pittsburgh, PA, 15206, USA. Electronic address: sumedha.singla@pitt.edu.",Pennsylvania,US-PA,pub.1153608276,ur.014261464267.97,Sumedha,Singla,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
558,558,Pittsburgh,5206379.0,United States,US,grid.147455.6,Carnegie Mellon University,"School of Computer Science, Human-Computer Interaction Institute, Carnegie Mellon University, USA. Electronic address: meslami@andrew.cmu.edu.",Pennsylvania,US-PA,pub.1153608276,ur.013667625153.55,Motahhare,Eslami,2022,,,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
559,559,Pittsburgh,5206379.0,United States,US,grid.21925.3d,University of Pittsburgh,"Department of Biomedical Informatics, the University of Pittsburgh, Pittsburgh, PA, 15206, USA. Electronic address: brp98@pitt.edu.",Pennsylvania,US-PA,pub.1153608276,ur.012326770307.39,Brian,Pollack,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
560,560,Pittsburgh,5206379.0,United States,US,grid.21925.3d,University of Pittsburgh,"University of Pittsburgh Medical School, Pittsburgh, PA, 15206, USA. Electronic address: wallacesr2@upmc.edu.",Pennsylvania,US-PA,pub.1153608276,ur.012257606027.50,Stephen,Wallace,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
561,561,Pittsburgh,5206379.0,United States,US,grid.21925.3d,University of Pittsburgh,"Department of Biomedical Informatics, the University of Pittsburgh, Pittsburgh, PA, 15206, USA. Electronic address: kayhan@pitt.edu.",Pennsylvania,US-PA,pub.1153608276,ur.011462063503.07,Kayhan,Batmanghelich,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
698,698,Starkville,4447161.0,United States,US,grid.260120.7,Mississippi State University,"Department of Marketing, Quantitative Analysis, and Business Law, Mississippi State University, Starkville, USA",Mississippi,US-MS,pub.1154178709,,Lu,He,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
699,699,Starkville,4447161.0,United States,US,grid.260120.7,Mississippi State University,"Department of Industrial and Systems Engineering, Mississippi State University, Starkville, USA",Mississippi,US-MS,pub.1154178709,,Haifeng,Wang,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
700,700,Little Rock,4119403.0,United States,US,grid.241054.6,University of Arkansas for Medical Sciences,"Department of Health Policy and Management, The University of Arkansas for Medical Sciences, Little Rock, USA",Arkansas,US-AR,pub.1154178709,ur.014347334157.28,Mandana,Rezaeiahari,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
701,701,Boston,4930956.0,United States,US,grid.261112.7,Northeastern University,"Department of Mechanical and Industrial Engineering, Northeastern University, Boston, USA",Massachusetts,US-MA,pub.1154178709,ur.01004614105.28,Chun-An,Chou,2022,,,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
704,704,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","IFM Lab, Department of Computer Science, University of California, Davis, CA, USA",California,US-CA,pub.1154178603,ur.016015417757.90,Jiawei,Zhang,2022,male,0.0,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority
707,707,Chicago,4887398.0,United States,US,grid.185648.6,University of Illinois at Chicago,"Computer Science Department, University of Illinois at Chicago, Chicago, USA",Illinois,US-IL,pub.1154178603,ur.011016356115.95,Philip S.,Yu,2022,male,0.0,High income,4.0,University of Illinois at Chicago,Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority
725,725,Stony Brook,5139865.0,United States,US,grid.36425.36,Stony Brook University,"Department of Biomedical Informatics, Department of Computer Science, Stony Brook University, Stony Brook, NY, USA",New York,US-NY,pub.1154178325,ur.01075313245.48,Fusheng,Wang,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
800,800,Manhattan,4274994.0,United States,US,grid.36567.31,Kansas State University,"Department of Clinical Sciences, College of Veterinary Medicine, Kansas State University, Manhattan, Kansas, USA",Kansas,US-KS,pub.1153364795,ur.010514120350.02,Erin,Hennessey,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
801,801,San Antonio,4726206.0,United States,US,,"Army Medical Department, Student Detachment, San Antonio, Texas, USA","Army Medical Department, Student Detachment, San Antonio, Texas, USA",Texas,US-TX,pub.1153364795,ur.010514120350.02,Erin,Hennessey,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
802,802,Manhattan,4274994.0,United States,US,grid.36567.31,Kansas State University,"Department of Clinical Sciences, College of Veterinary Medicine, Kansas State University, Manhattan, Kansas, USA",Kansas,US-KS,pub.1153364795,ur.07435424771.98,Matthew,DiFazio,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
803,803,Manhattan,4274994.0,United States,US,grid.36567.31,Kansas State University,"Department of Computer Science, College of Engineering, Kansas State University, Manhattan, Kansas, USA",Kansas,US-KS,pub.1153364795,,Ryan,Hennessey,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
804,804,Manhattan,4274994.0,United States,US,grid.36567.31,Kansas State University,"Department of Clinical Sciences, College of Veterinary Medicine, Kansas State University, Manhattan, Kansas, USA",Kansas,US-KS,pub.1153364795,ur.01010753017.81,Nicky,Cassel,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
811,811,Pocatello,5604045.0,United States,US,grid.257296.d,Idaho State University,"Department of Electrical and Computer Engineering, College of Science and Engineering, Idaho State University, Pocatello, ID 83209, USA",Idaho,US-ID,pub.1153392486,ur.012576671525.13,Mostafa M.,Fouda,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
818,818,Pittsburgh,5206379.0,United States,US,grid.147455.6,Carnegie Mellon University,"Carnegie Mellon University, Pittsburgh, USA",Pennsylvania,US-PA,pub.1155035834,ur.013504456435.55,Yingtao,Luo,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
877,877,Malvern,5199600.0,United States,US,grid.415886.6,Siemens Healthcare (United States),"Siemens Healthineers, Digital Technology and Innovation, Princeton, New Jersey, United States",Pennsylvania,US-PA,pub.1153249929,ur.012717301041.17,Florin C.,Ghesu,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
