,Unnamed: 0.1,Unnamed: 0,aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_raw_affiliation,aff_state,aff_state_code,pub_id,researcher_id,first_name,last_name,isMinority_2020,isMinority_2022,Type2020,Type2022,MSI Type2020,MSI Type2022,full_name,gender
27,2748,2748,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Electrical and Computer Engineering, University of California Davis, Davis, CA.",California,US-CA,pub.1134546919,ur.010253132161.24,Chen-Nee,Chuah,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Chen-Nee Chuah,
28,2749,2749,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Internal Medicine, Division of Pulmonary, Critical Care, and Sleep Medicine, University of California Davis, Sacramento, CA.",California,US-CA,pub.1134546919,ur.013117716123.57,Jason Y.,Adams,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Jason Y. Adams,male
29,3001,3001,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"University of Arizona College of Medicine Phoenix, AZ, USA",Arizona,US-AZ,pub.1131242361,ur.013552725507.09,Diep,Nguyen,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Diep Nguyen,female
30,3002,3002,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"University of Arizona College of Medicine Phoenix, AZ, USA",Arizona,US-AZ,pub.1131242361,ur.011133524521.52,Brandon,Ngo,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Brandon Ngo,male
31,3003,3003,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"University of Arizona College of Medicine Phoenix, AZ, USA",Arizona,US-AZ,pub.1131242361,ur.0101265676.37,Eric,vanSonnenberg,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Eric vanSonnenberg,male
32,3222,3222,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","PhD Candidate of Computer Engineering, Department of Electrical Engineering and Computer Science, University of California, Irvine, CA, 92697, USA",California,US-CA,pub.1130399762,ur.014640403313.69,Mina Chookhachizadeh,Moghadam,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Mina Chookhachizadeh Moghadam,female
33,3223,3223,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Research Collaborator with the Department of Electrical Engineering and computer science, University of California, Irvine, CA, 92697, USA",California,US-CA,pub.1130399762,ur.011576073245.95,Ehsan,Masoumi,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Ehsan Masoumi,male
34,3224,3224,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Faculty of Electrical Engineering and Computer Science, University of California, Irvine, CA, 92697, USA",California,US-CA,pub.1130399762,ur.010406647527.25,Nader,Bagherzadeh,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Nader Bagherzadeh,male
35,3226,3226,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Chancellor’s Professor and Executive Director, Center on Stress & Health Center, University of California, Irvine, CA, 92697, USA",California,US-CA,pub.1130399762,ur.01040214570.34,Zeev N.,Kain,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Zeev N. Kain,male
36,3303,3303,Arlington,4671240.0,United States,US,grid.267315.4,The University of Texas at Arlington,"Department of Computer Science, University of Texas at Arlington, Arlington TX 76019, USA",Texas,US-TX,pub.1130027225,ur.016356136107.08,Feng,Tong,University of Texas at Arlington,The University of Texas at Arlington,Pub 4yr,Public 4yr,HSI,AANAPISI,Feng Tong,male
37,3307,3307,Arlington,4671240.0,United States,US,grid.267315.4,The University of Texas at Arlington,"Department of Electrical Engineering, University of Texas, Arlington, Arlington, TX 76019, USA",Texas,US-TX,pub.1130027225,ur.015752610301.04,Sungyong,Jung,University of Texas at Arlington,The University of Texas at Arlington,Pub 4yr,Public 4yr,HSI,AANAPISI,Sungyong Jung,male
38,3308,3308,Arlington,4671240.0,United States,US,grid.267315.4,The University of Texas at Arlington,"Department of Computer Science, University of Texas at Arlington, Arlington TX 76019, USA",Texas,US-TX,pub.1130027225,ur.01257463462.84,Won Hwa,Kim,University of Texas at Arlington,The University of Texas at Arlington,Pub 4yr,Public 4yr,HSI,AANAPISI,Won Hwa Kim,male
40,3540,3540,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Department of Electrical Engineering and Computer Science, University of California Irvine, Irvine, CA, 92697, USA.",California,US-CA,pub.1124279943,ur.016057503651.68,Ehsan Masoumi Khalil,Abad,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Ehsan Masoumi Khalil Abad,male
42,3543,3543,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Department of Electrical Engineering and Computer Science, University of California Irvine, Irvine, CA, 92697, USA.",California,US-CA,pub.1124279943,ur.01222307713.33,Guann-Pyng,Li,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Guann-Pyng Li,
43,3544,3544,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Department of Anesthesiology and Preoperative Care, School of Medicine, University of California Irvine, Irvine, CA, 92697, USA.",California,US-CA,pub.1124279943,ur.01040214570.34,Zeev N,Kain,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Zeev N Kain,male
44,3631,3631,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Anesthesiology, UC Irvine, Irvine, California, USA",California,US-CA,pub.1123089903,ur.01160710637.64,Joseph,Rinehart,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Joseph Rinehart,male
45,3632,3632,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Bioengineering, UC Irvine, Irvine, California, USA",California,US-CA,pub.1123089903,ur.01035566771.03,Christine,Lee,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Christine Lee,female
46,3634,3634,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Computer Sciences, UC Irvine, Irvine, California, USA",California,US-CA,pub.1123089903,ur.07756363077.99,Pierre,Baldi,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Pierre Baldi,male
47,3653,3653,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Department of Medical Imaging, University of Arizona, 1501 N. Campbell Ave, 85724, Tucson, AZ, USA",Arizona,US-AZ,pub.1122868128,ur.01355741725.39,Veronica A.,Arteaga,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Veronica A. Arteaga,female
48,3654,3654,Orlando,4167147.0,United States,US,grid.170430.1,University of Central Florida,"UCF College of Medicine, 6850 Lake Nona Blvd, 32827, Orlando, FL, USA",Florida,US-FL,pub.1122868128,ur.010745627757.20,Stephen,Borstelmann,University of Central Florida,University of Central Florida,Pub 4yr,Public 4yr,HSI,HSI,Stephen Borstelmann,male
49,3670,3670,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Department of Medical Imaging, University of Arizona, 1501 N. Campbell Ave, 85724, Tucson, AZ, USA",Arizona,US-AZ,pub.1122868128,ur.0605213726.46,Kavitha,Yaddanapudi,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Kavitha Yaddanapudi,female
50,3995,3995,New Brunswick,5101717.0,United States,US,grid.430387.b,"Rutgers, The State University of New Jersey","Departments of Pharmacology, Physiology, and Neuroscience & Medicine, Center for Emerging and Reemerging Pathogens, Rutgers UniversityNew Jersey Medical School, 185 South Orange Avenue, Newark, New Jersey, 07103, United States",New Jersey,US-NJ,pub.1111764521,ur.01315735040.98,Joel S.,Freundlich,"Rutgers, the State University of New Jersey",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Joel S. Freundlich,male
51,4074,4074,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Department of bioengineering, university of California Irvine, CA, USA",California,US-CA,pub.1107646353,ur.0755150717.92,Maxime,Cannesson,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Maxime Cannesson,male
53,4085,4085,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Department of bioengineering, university of California Irvine, CA, USA",California,US-CA,pub.1107646353,,the ACTERREA Research,Group,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,the ACTERREA Research Group,None
54,4170,4170,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Department of Biomedical Engineering, University of Arizona, Tucson, AZ",Arizona,US-AZ,pub.1107900500,ur.013642307163.37,Baran,Balkan,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Baran Balkan,male
55,4171,4171,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Department of Systems and Industrial Engineering with a minor in Biomedical Engineerin, University of Arizona, Tucson, AZ, 85721, USA",Arizona,US-AZ,pub.1107900500,ur.014437667563.63,Patrick,Essay,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Patrick Essay,male
56,4172,4172,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Department of Biomedical Engineering and the Department of Systems & Industrial Engineering Department, University of Arizona, Tucson, AZ, 85721, USA",Arizona,US-AZ,pub.1107900500,ur.011224253140.45,Vignesh,Subbian,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Vignesh Subbian,male
57,4356,4356,Albuquerque,5454711.0,United States,US,grid.266832.b,University of New Mexico,"Department of Medicine, University of New Mexico, Albuquerque, New Mexico, USA",New Mexico,US-NM,pub.1027704545,ur.01030003730.00,Subramani,Mani,University of New Mexico,University of New Mexico-Gallup Campus,Pub 2yr,Public 2yr,HSI,HSI,Subramani Mani,male
58,4362,4362,Albuquerque,5454711.0,United States,US,grid.266832.b,University of New Mexico,"Department of Medicine, University of New Mexico, Albuquerque, New Mexico, USA",New Mexico,US-NM,pub.1027704545,ur.0717704335.82,Randy,Carnevale,University of New Mexico,University of New Mexico-Gallup Campus,Pub 2yr,Public 2yr,HSI,HSI,Randy Carnevale,male
59,4369,4369,Riverside,5387877.0,United States,US,grid.266097.c,"University of California, Riverside","Department of Statistics, University of California, Los Angeles, USA",California,US-CA,pub.1022591053,ur.0730631333.59,Alan,Yuille,"University of California, Riverside",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Alan Yuille,male
60,5079,706,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151693778,ur.07670333237.88,Yixi,Xu,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Yixi Xu,female
61,5081,708,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151693778,ur.011564476153.45,Anusua,Trivedi,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Anusua Trivedi,female
62,5083,710,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151693778,ur.013256641017.33,Nicholas,Becker,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Nicholas Becker,male
64,5086,713,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151693778,ur.015455302177.42,Marian,Blazes,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Marian Blazes,male
65,5087,714,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151693778,ur.015133612304.37,Juan Lavista,Ferres,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Juan Lavista Ferres,male
66,5089,716,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151693778,ur.012146326257.05,Aaron,Lee,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Aaron Lee,male
67,5090,717,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151693778,,W.,Conrad Liles,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,W. Conrad Liles,
69,5092,719,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151693778,ur.01261022722.46,Pavan K.,Bhatraju,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Pavan K. Bhatraju,male
72,5826,1453,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"University of Washington and Seattle Children’s Hospital, Seattle, Washington",Washington,US-WA,pub.1143401580,ur.01070501325.09,Shina,Menon,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Shina Menon,male
73,5958,1585,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Division of Critical Care, Department of Anesthesiology, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.01333253307.98,Monica I,Lupei,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Monica I Lupei,female
74,5959,1586,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Department of Laboratory Medicine and Pathology, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.07416441071.14,Danni,Li,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Danni Li,female
75,5960,1587,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Division of Pulmonary and Critical Care, Department of Medicine, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.01322143060.24,Nicholas E,Ingraham,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Nicholas E Ingraham,male
76,5961,1588,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Division of General Internal Medicine, Department of Medicine, Section of Hospital Medicine, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.0613072474.76,Karyn D,Baum,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Karyn D Baum,female
77,5962,1589,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Division of General Internal Medicine, Department of Medicine, Section of Hospital Medicine, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.0731146262.13,Bradley,Benson,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Bradley Benson,male
78,5963,1590,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Department of Emergency Medicine, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.01225534041.68,Michael,Puskarich,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Michael Puskarich,male
79,5964,1591,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Department of Emergency Medicine, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.010776047432.91,David,Milbrandt,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,David Milbrandt,male
80,5965,1592,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Department of Surgery, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.0710770014.21,Genevieve B,Melton,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Genevieve B Melton,female
82,5967,1594,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Institute for Health Informatics, University of Minnesota, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.014543214257.68,Daren,Scheppmann,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Daren Scheppmann,male
83,5968,1595,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Division of General Internal Medicine, Department of Medicine, Section of Hospital Medicine, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.0763111557.00,Michael G,Usher,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Michael G Usher,male
84,5969,1596,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Department of Surgery, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.01045103044.18,Christopher J,Tignanelli,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Christopher J Tignanelli,male
87,6042,1669,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Department of Public Health, University of California, Irvine, CA 92697, USA, berkeley.edu",California,US-CA,pub.1144173312,ur.016265271641.40,Zichen,Wang,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Zichen Wang,male
90,6172,1799,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,University of Washington.,Washington,US-WA,pub.1142619372,ur.01325624662.93,W,Liles,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,W Liles,
91,6173,1800,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,University of Washington.,Washington,US-WA,pub.1142619372,ur.01261022722.46,Pavan,Bhatraju,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Pavan Bhatraju,male
92,6543,2170,Riverside,5387877.0,United States,US,grid.266097.c,"University of California, Riverside","Department of Statistics, University of California, Los Angeles, CA, USA",California,US-CA,pub.1140147019,,Sidong,Wang,"University of California, Riverside",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Sidong Wang,male
93,6559,2186,New Brunswick,5101717.0,United States,US,grid.430387.b,"Rutgers, The State University of New Jersey","Department of Medicine, Rutgers Robert Wood Johnson Medical School, New Brunswick, NJ.",New Jersey,US-NJ,pub.1140525967,ur.0650154742.42,Jared,Radbel,"Rutgers, the State University of New Jersey",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Jared Radbel,male
