MSI Type,Institution,,City,State/Territory,Type
HSI,"University of California, Santa Cruz",,Santa Cruz,CA,Pub 4yr
HSI,University of La Verne,,La Verne,CA,Pri 4yr
HSI,Vanguard University of Southern California,,Costa Mesa,CA,Pri 4yr
HSI,Ventura College,,Ventura,CA,Pub 2yr
HSI,Victor Valley Community College,,Victorville,CA,Pub 2yr
HSI,West Hills College Lemoore,,Lemoore,CA,Pub 2yr
HSI,West Hills Community College,,Coalinga,CA,Pub 2yr
HSI,West Los Angeles College,,Culver City,CA,Pub 4yr
HSI,Whittier College,,Whittier,CA,Pri 4yr
HSI,Woodbury University,,Burbank,CA,Pri 4yr
ANNH & NASNTI,Fort Lewis College,,Durango,CO,Pub 4yr
HSI,Adams State University,,Alamosa,CO,Pub 4yr
HSI,Colorado State University - Pueblo,,Pueblo,CO,Pub 4yr
HSI,Community College of Aurora,,Aurora,CO,Pub 2yr
HSI,Community College of Denver,,Denver,CO,Pub 4yr
HSI,Lamar Community College,,Lamar,CO,Pub 2yr
HSI,Metropolitan State University of Denver,,Denver,CO,Pub 4yr
HSI,Morgan Community College,,Fort Morgan,CO,Pub 2yr
HSI,Pueblo Community College,,Pueblo,CO,Pub 4yr
HSI,Trinidad State Junior College,,Trinidad,CO,Pub 2yr
AANAPISI,University of Connecticut - Hartford Campus,,Hartford,CT,Pub 4yr
HSI,Capital Community College,,Hartford,CT,Pub 2yr
HSI,Gateway Community College,,New Haven,CT,Pub 2yr
HSI,Naugatuck Valley Community College,,Waterbury,CT,Pub 2yr
HSI,Norwalk Community College,,Norwalk,CT,Pub 2yr
HBCU,Howard University,,Washington,DC,Pri 4yr
HBCU,University of the District of Columbia,,Washington,DC,Pub 4yr
PBI,Trinity Washington University,,Washington,DC,Pri 4yr
HBCU,Delaware State University,,Dover,DE,Pub 4yr
HBCU,Bethune Cookman University,,Daytona Beach,FL,Pri 4yr
HBCU,Edward Waters College,,Jacksonville,FL,Pri 4yr
HBCU,Florida Agricultural & Mechanical University,,Tallahassee,FL,Pub 4yr
HBCU,Florida Memorial University,,Miami Gardens,FL,Pri 4yr
HSI,Barry University,,Miami,FL,Pri 4yr
HSI,Broward College,,Fort Lauderdale,FL,Pub 4yr
HSI,Carlos Albizu University,,Miami,FL,Pri 4yr
HSI,City College - Miami,,Miami,FL,Pri 4yr
HSI,Florida Atlantic University,,Boca Raton,FL,Pub 4yr
HSI,Florida International University,,Miami,FL,Pub 4yr
HSI,Herzing University - Winter Park,,Winter Park,FL,Pri 4yr
HSI,Hillsborough Community College,,Tampa,FL,Pub 2yr
HSI,Hodges University,,Naples,FL,Pri 4yr
HSI,Keiser University,,Fort Lauderdale,FL,Pri 4yr
HSI,Miami Dade College,,Miami,FL,Pub 4yr
HSI,Nova Southeastern University,,Fort Lauderdale,FL,Pri 4yr
HSI,Palm Beach State College,,Lake Worth,FL,Pub 4yr
HSI,Seminole State College of Florida,,Sanford,FL,Pub 4yr
HSI,South Florida State College,,Avon Park,FL,Pub 4yr
HSI,Trinity International University - Florida,,Miramar,FL,Pri 4yr
HSI,Universidad Politecnica de Puerto Rico,,Orlando,FL,Pri 4yr
HSI,Universidad Politecnica de Puerto Rico,,Miami,FL,Pri 4yr
HSI,University of Central Florida,,Orlando,FL,Pub 4yr
HSI,Valencia College,,Orlando,FL,Pub 4yr
HSI & PBI,Altierus Career College,,Tampa,FL,Pri 4yr
PBI,City College,,Fort Lauderdale,FL,Pri 4yr
PBI,City College - Gainesville,,Gainesville,FL,Pri 4yr
PBI,Everest University - Brandon,,Tampa,FL,Pri 4yr
PBI,Everest University - South Orlando,,Tampa,FL,Pri 4yr
PBI,Remington College - Heathrow Campus,,Lake Mary,FL,Pri 4yr
PBI,University of Fort Lauderdale,,Lauderhill,FL,Pri 4yr
AANAPISI & ANNH,College of Micronesia - FSM,,Pohnpei,FM,Pub 2yr
AANAPISI,Georgia Gwinnett College,,Lawrenceville,GA,Pub 4yr
AANAPISI & PBI,Beulah Heights University,,Atlanta,GA,Pri 4yr
AANAPISI & PBI,Georgia State University,,Atlanta,GA,Pub 4yr
HBCU,Albany State University,,Albany,GA,Pub 4yr
HBCU,Clark Atlanta University,,Atlanta,GA,Pri 4yr
HBCU,Fort Valley State University,,Fort Valley,GA,Pub 4yr
HBCU,Morehouse College,,Atlanta,GA,Pri 4yr
HBCU,Paine College,,Augusta,GA,Pri 4yr
HBCU,Savannah State University,,Savannah,GA,Pub 4yr
HBCU,Spelman College,,Atlanta,GA,Pri 4yr
HSI,Dalton State College,,Dalton,GA,Pub 4yr
HSI & PBI,Altierus Career College - Norcross,,Norcross,GA,Pri 2yr
PBI,Albany Technical College,,Albany,GA,Pub 2yr
PBI,Atlanta Metropolitan State College,,Atlanta,GA,Pub 4yr
PBI,Atlanta Technical College,,Atlanta,GA,Pub 2yr
PBI,Augusta Technical College,,Augusta,GA,Pub 2yr
PBI,Bainbridge State College,,Bainbridge,GA,Pub 4yr
PBI,Central Georgia Technical College,,Warner Robins,GA,Pub 2yr
PBI,Clayton State University,,Morrow,GA,Pub 4yr
PBI,Columbus Technical College,,Columbus,GA,Pub 2yr
PBI,East Georgia State College,,Swainsboro,GA,Pub 4yr
PBI,Georgia Military College,,Milledgeville,GA,Pub 4yr
PBI,Georgia Piedmont Technical College,,Clarkston,GA,Pub 2yr
PBI,Georgia State University - Perimeter College,,Atlanta,GA,Pub 2yr
PBI,Gupton - Jones College,,Decatur,GA,Pri 2yr
PBI,Herzing University - Atlanta,,Atlanta,GA,Pri 4yr
PBI,Oconee Fall Line Technical College,,Sandersville,GA,Pub 2yr
PBI,Savannah Technical College,,Savannah,GA,Pub 2yr
PBI,Shorter University - College of Adult & Professional Programs,,Marietta,GA,Pri 4yr
PBI,South Georgia Technical College,,Americus,GA,Pub 2yr
PBI,Southern Crescent Technical College,,Griffin,GA,Pub 2yr
AANAPISI & ANNH,Pacific Islands University,,Mangilao,GU,Pri 4yr
AANAPISI & ANNH,University of Guam,,Mangilao,GU,Pub 4yr
AANAPISI,Hawaii Community College,,Hilo,HI,Pub 2yr
AANAPISI,Hawaii Pacific University,,Honolulu,HI,Pri 4yr
AANAPISI & ANNH,Honolulu Community College,,Honolulu,HI,Pub 2yr
AANAPISI & ANNH,Kauai Community College,,Lihue,HI,Pub 2yr
AANAPISI & ANNH,Pacific Rim Christian University,,Honolulu,HI,Pri 4yr
AANAPISI & ANNH,Remington College - Honolulu Campus,,Honolulu,HI,Pri 4yr
AANAPISI & ANNH,University of Hawaii at Hilo,,Hilo,HI,Pub 4yr
ANNH,Chaminade University of Honolulu,,Honolulu,HI,Pri 4yr
ANNH,Kapiolani Community College,,Honolulu,HI,Pub 2yr
ANNH,Leeward Community College,,Pearl City,HI,Pub 2yr
ANNH,University of Hawaii - West Oahu,,Kapolei,HI,Pub 4yr
ANNH,University of Hawaii at Manoa,,Honolulu,HI,Pub 4yr
ANNH,University of Hawaii Maui College,,Kahului,HI,Pub 4yr
ANNH,Windward Community College,,Kaneohe,HI,Pub 2yr
HSI,Stevens-Henager College,,Idaho Falls,ID,Pri 4yr
AANAPISI,College of Du Page,,Glen Ellyn,IL,Pub 2yr
AANAPISI,National University of Health Sciences (The),,Lombard,IL,Pri 4yr
AANAPISI,Oakton Community College,,Des Plaines,IL,Pub 2yr
AANAPISI,Resurrection University,,Chicago,IL,Pri 4yr
AANAPISI & HSI,University of Illinois at Chicago,,Chicago,IL,Pub 4yr
HSI,American Academy of Art,,Chicago,IL,Pri 4yr
HSI,Aurora University,,Aurora,IL,Pri 4yr
HSI,City Colleges of Chicago Harry S Truman College,,Chicago,IL,Pub 2yr
HSI,College of Lake County,,Grayslake,IL,Pub 2yr
HSI,Concordia University,,River Forest,IL,Pri 4yr
HSI,Dominican University,,River Forest,IL,Pri 4yr
HSI,Harold Washington College,,Chicago,IL,Pub 2yr
HSI,MacCormac College,,Chicago,IL,Pri 2yr
HSI,Morton College,,Cicero,IL,Pub 2yr
HSI,National Louis University,,Chicago,IL,Pri 4yr
HSI,Northeastern Illinois University,,Chicago,IL,Pub 4yr
HSI,Richard J Daley College - City Colleges of Chicago,,Chicago,IL,Pub 2yr
HSI,Robert Morris University Illinois,,Chicago,IL,Pri 4yr
HSI,Roosevelt University,,Chicago,IL,Pri 4yr
HSI,Saint Augustine College,,Chicago,IL,Pri 4yr
HSI,Saint Xavier University,,Chicago,IL,Pri 4yr
HSI,Triton College,,River Grove,IL,Pub 2yr
HSI,Waubonsee Community College,,Sugar Grove,IL,Pub 2yr
HSI,Wilbur Wright College,,Chicago,IL,Pub 2yr
HSI & PBI,City Colleges of Chicago - Malcolm X College,,Chicago,IL,Pub 2yr
PBI,Chicago State University,,Chicago,IL,Pub 4yr
PBI,City Colleges of Chicago - Kennedy King College,,Chicago,IL,Pub 2yr
PBI,East-West University,,Chicago,IL,Pri 4yr
PBI,Lincoln College,,Lincoln,IL,Pri 4yr
PBI,Olive-Harvey College,,Chicago,IL,Pub 2yr
PBI,Prairie State College,,Chicago Heights,IL,Pub 2yr
PBI,South Suburban College of Cook County,,South Holland,IL,Pub 2yr
HSI,Calumet College of Saint Joseph,,Whiting,IN,Pri 4yr
PBI,Martin University,,Indianapolis,IN,Pri 4yr
HSI,Dodge City Community College,,Dodge City,KS,Pub 2yr
HSI,Donnelly College,,Kansas City,KS,Pri 4yr
HSI,Garden City Community College,,Garden City,KS,Pub 2yr
HSI,Seward County Community College,,Liberal,KS,Pub 2yr
TCU,Haskell Indian Nations University,,Lawrence,KS,Pub 4yr
HBCU,Kentucky State University,,Frankfort,KY,Pub 4yr
HBCU,Simmons College of Kentucky,,Louisville,KY,Pri 4yr
HBCU,Dillard University,,New Orleans,LA,Pri 4yr
HBCU,Grambling State University,,Grambling,LA,Pub 4yr
HBCU,Southern University and Agricultural & Mechanical College at Baton Rouge,,Baton Rouge,LA,Pub 4yr
HBCU,Southern University at New Orleans,,New Orleans,LA,Pub 4yr
HBCU,Southern University at Shreveport - Bossier City,,Shreveport,LA,Pub 2yr
HBCU,Xavier University of Louisiana,,New Orleans,LA,Pri 4yr
PBI,Baton Rouge Community College,,Baton Rouge,LA,Pub 2yr
PBI,Delgado Community College,,New Orleans,LA,Pub 2yr
PBI,Herzing University - Kenner,,Kenner,LA,Pri 4yr
PBI,Remington College - Baton Rouge Campus,,Baton Rouge,LA,Pri 2yr
PBI,Remington College - Lafayette Campus,,Lafayette,LA,Pri 2yr
PBI,Remington College - Shreveport Campus,,Shreveport,LA,Pri 4yr
PBI,South Louisiana Community College,,Lafayette,LA,Pub 2yr
AANAPISI,Benjamin Franklin Institute of Technology,,Boston,MA,Pub 4yr
AANAPISI,Bunker Hill Community College,,Boston,MA,Pub 2yr
AANAPISI,Middlesex Community College,,Bedford,MA,Pub 2yr
AANAPISI,University of Massachusetts - Boston,,Boston,MA,Pub 4yr
HSI,Cambridge College,,Boston,MA,Pri 4yr
HSI,Holyoke Community College,,Holyoke,MA,Pub 2yr
HSI,Northern Essex Community College,,Haverhill,MA,Pub 2yr
HSI,Springfield Technical Community College,,Springfield,MA,Pub 2yr
AANAPISI,Montgomery College,,Rockville,MD,Pub 2yr
AANAPISI,University of Maryland - Baltimore County,,Baltimore,MD,Pub 4yr
HBCU,Bowie State University,,Bowie,MD,Pub 4yr
HBCU,Coppin State University,,Baltimore,MD,Pub 4yr
HBCU,Morgan State University,,Baltimore,MD,Pub 4yr
HBCU,University of Maryland - Eastern Shore,,Princess Anne,MD,Pub 4yr
PBI,Faith Theological Seminary,,Baltimore,MD,Pri 4yr
PBI,Prince George's Community College,,Largo,MD,Pub 2yr
PBI,University of Baltimore,,Baltimore,MD,Pub 4yr
PBI,Washington Adventist University,,Takoma Park,MD,Pri 4yr
AANAPISI,Andrews University,,Berrien Springs,MI,Pri 4yr
PBI,Wayne County Community College District,,Detroit,MI,Pub 2yr
TCU,Bay Mills Community College,,Brimley,MI,Pub 2yr
TCU,Keweenaw Bay Ojibwa Community College,,Baraga,MI,Pub 2yr
TCU,Saginaw Chippewa Tribal College,,Mount Pleasant,MI,Pub 2yr
AANAPISI,Century College,,White Bear Lake,MN,Pub 2yr
AANAPISI,Herzing University - Minneapolis,,Minneapolis,MN,Pri 4yr
AANAPISI,Metropolitan State University,,Saint Paul,MN,Pub 4yr
AANAPISI,North Hennepin Community College,,Brooklyn Park,MN,Pub 2yr
AANAPISI,Saint Paul College - A Community & Technical College,,Saint Paul,MN,Pub 2yr
AANAPISI,St. Catherine University,,Saint Paul,MN,Pri 4yr
AANAPISI,University of Minnesota - Twin Cities,,Minneapolis,MN,Pub 4yr
NASNTI,University of Minnesota - Morris,,Morris,MN,Pub 4yr
TCU,Fond du Lac Tribal & Community College,,Cloquet,MN,Pub 2yr
TCU,Leech Lake Tribal College,,Cass Lake,MN,Pub 2yr
TCU,White Earth Tribal and Community College,,Mahnomen,MN,Pri 2yr
HBCU,Harris - Stowe State University,,Saint Louis,MO,Pub 4yr
HBCU,Lincoln University,,Jefferson City,MO,Pub 4yr
PBI,TechMission,,Kansas City,MO,Pri 4yr
AANAPISI & ANNH,Northern Marianas College,,Saipan,MP,Pub 4yr
HBCU,Alcorn State University,,Alcorn State,MS,Pub 4yr
HBCU,Coahoma Community College,,Clarksdale,MS,Pub 2yr
HBCU,Jackson State University,,Jackson,MS,Pub 4yr
HBCU,Mississippi Valley State University,,Itta Bena,MS,Pub 4yr
HBCU,Rust College,,Holly Springs,MS,Pri 4yr
HBCU,Tougaloo College,,Tougaloo,MS,Pri 4yr
PBI,Belhaven University,,Jackson,MS,Pri 4yr
PBI,East Mississippi Community College,,Scooba,MS,Pub 2yr
PBI,Hinds Community College,,Raymond,MS,Pub 2yr
PBI,Holmes Community College,,Goodman,MS,Pub 2yr
PBI,Meridian Community College,,Meridian,MS,Pub 2yr
PBI,Mississippi Delta Community College,,Moorhead,MS,Pub 2yr
PBI,Southeastern Baptist College,,Laurel,MS,Pri 4yr
PBI,Southwest Mississippi Community College,,Summit,MS,Pub 2yr
NASNTI,Montana State University - Northern,,Havre,MT,Pub 4yr
TCU,Aaniiih Nakoda College,,Harlem,MT,Pub 2yr
TCU,Blackfeet Community College,,Browning,MT,Pri 2yr
TCU,Chief Dull Knife College,,Lame Deer,MT,Pub 2yr
TCU,Fort Peck Community College,,Poplar,MT,Pub 2yr
TCU,Little Big Horn College,,Crow Agency,MT,Pub 2yr
TCU,Salish Kootenai College,,Pablo,MT,Pri 4yr
TCU,Stone Child College,,Box Elder,MT,Pub 4yr
AANAPISI & ANNH,Pamlico Community College,,Grantsboro,NC,Pub 2yr
ANNH & NASNTI,Robeson Community College,,Lumberton,NC,Pub 2yr
