,Unnamed: 0.1,Unnamed: 0,aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_raw_affiliation,aff_state,aff_state_code,pub_id,researcher_id,first_name,last_name,year,gender,gender_ints,income_class,income_class_num,isMinority_2020,isMinority_2022,Type2020,Type2022,MSI Type2020,MSI Type2022,full_name
17,990,1296,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"Penn State Dickinson Law, Carlisle, PA.",Pennsylvania,US-PA,pub.1144677055,ur.010046731131.30,Sara,Gerke,2022,female,1.0,High income,4.0,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Sara Gerke
18,1032,1338,New Brunswick,5101717.0,United States,US,grid.430387.b,"Rutgers, The State University of New Jersey","Department of Biomedical Engineering, Rutgers University, New Brunswick, NJ, 08901, USA",New Jersey,US-NJ,pub.1148386632,ur.014432152544.43,John K-J.,Li,2022,male,0.0,High income,4.0,"Rutgers, the State University of New Jersey",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,John K-J. Li
19,2087,2540,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Department of Biostatistics, School of Public Health, University of Minnesota, Minneapolis, Minnesota, USA.",Minnesota,US-MN,pub.1134935436,ur.011323117130.08,Daniel,Whitford,2021,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Daniel Whitford
20,2287,2740,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Computer Science, University of California Davis, Davis, CA.",California,US-CA,pub.1134546919,ur.010301062757.06,Gregory B.,Rehm,2021,male,0.0,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Gregory B. Rehm
21,2288,2741,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Internal Medicine, Division of Pulmonary, Critical Care, and Sleep Medicine, University of California Davis, Sacramento, CA.",California,US-CA,pub.1134546919,ur.0745064106.21,Irene,Cortés-Puch,2021,female,1.0,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Irene Cortés-Puch
22,2289,2742,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Internal Medicine, Division of Pulmonary, Critical Care, and Sleep Medicine, University of California Davis, Sacramento, CA.",California,US-CA,pub.1134546919,ur.015431663717.61,Brooks T.,Kuhn,2021,male,0.0,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Brooks T. Kuhn
23,2290,2743,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Respiratory Care, University of California Davis Health, Sacramento, CA.",California,US-CA,pub.1134546919,ur.014064345357.87,Jimmy,Nguyen,2021,male,0.0,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Jimmy Nguyen
24,2291,2744,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Internal Medicine, Division of Pulmonary, Critical Care, and Sleep Medicine, University of California Davis, Sacramento, CA.",California,US-CA,pub.1134546919,ur.011334700147.19,Sarina A.,Fazio,2021,female,1.0,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Sarina A. Fazio
25,2293,2746,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Division of Informatics, Department of Public Health Sciences, University of California Davis, Davis, CA.",California,US-CA,pub.1134546919,ur.016316720437.53,Nicholas R.,Anderson,2021,male,0.0,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Nicholas R. Anderson
26,2294,2747,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Electrical and Computer Engineering, University of California Davis, Davis, CA.",California,US-CA,pub.1134546919,ur.010253132161.24,Chen-Nee,Chuah,2021,,,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Chen-Nee Chuah
27,2295,2748,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Internal Medicine, Division of Pulmonary, Critical Care, and Sleep Medicine, University of California Davis, Sacramento, CA.",California,US-CA,pub.1134546919,ur.013117716123.57,Jason Y.,Adams,2021,male,0.0,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Jason Y. Adams
28,2521,3000,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"University of Arizona College of Medicine Phoenix, AZ, USA",Arizona,US-AZ,pub.1131242361,ur.013552725507.09,Diep,Nguyen,2020,female,1.0,High income,4.0,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Diep Nguyen
29,2522,3001,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"University of Arizona College of Medicine Phoenix, AZ, USA",Arizona,US-AZ,pub.1131242361,ur.011133524521.52,Brandon,Ngo,2020,male,0.0,High income,4.0,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Brandon Ngo
30,2523,3002,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"University of Arizona College of Medicine Phoenix, AZ, USA",Arizona,US-AZ,pub.1131242361,ur.0101265676.37,Eric,vanSonnenberg,2020,male,0.0,High income,4.0,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Eric vanSonnenberg
31,2723,3221,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","PhD Candidate of Computer Engineering, Department of Electrical Engineering and Computer Science, University of California, Irvine, CA, 92697, USA",California,US-CA,pub.1130399762,ur.014640403313.69,Mina Chookhachizadeh,Moghadam,2020,female,1.0,High income,4.0,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Mina Chookhachizadeh Moghadam
32,2724,3222,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Research Collaborator with the Department of Electrical Engineering and computer science, University of California, Irvine, CA, 92697, USA",California,US-CA,pub.1130399762,ur.011576073245.95,Ehsan,Masoumi,2020,male,0.0,High income,4.0,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Ehsan Masoumi
33,2725,3223,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Faculty of Electrical Engineering and Computer Science, University of California, Irvine, CA, 92697, USA",California,US-CA,pub.1130399762,ur.010406647527.25,Nader,Bagherzadeh,2020,male,0.0,High income,4.0,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Nader Bagherzadeh
34,2727,3225,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Chancellor’s Professor and Executive Director, Center on Stress & Health Center, University of California, Irvine, CA, 92697, USA",California,US-CA,pub.1130399762,ur.01040214570.34,Zeev N.,Kain,2020,male,0.0,High income,4.0,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Zeev N. Kain
35,2804,3302,Arlington,4671240.0,United States,US,grid.267315.4,The University of Texas at Arlington,"Department of Computer Science, University of Texas at Arlington, Arlington TX 76019, USA",Texas,US-TX,pub.1130027225,ur.016356136107.08,Feng,Tong,2020,male,0.0,High income,4.0,University of Texas at Arlington,The University of Texas at Arlington,Pub 4yr,Public 4yr,HSI,AANAPISI,Feng Tong
36,2808,3306,Arlington,4671240.0,United States,US,grid.267315.4,The University of Texas at Arlington,"Department of Electrical Engineering, University of Texas, Arlington, Arlington, TX 76019, USA",Texas,US-TX,pub.1130027225,ur.015752610301.04,Sungyong,Jung,2020,male,0.0,High income,4.0,University of Texas at Arlington,The University of Texas at Arlington,Pub 4yr,Public 4yr,HSI,AANAPISI,Sungyong Jung
37,2809,3307,Arlington,4671240.0,United States,US,grid.267315.4,The University of Texas at Arlington,"Department of Computer Science, University of Texas at Arlington, Arlington TX 76019, USA",Texas,US-TX,pub.1130027225,ur.01257463462.84,Won Hwa,Kim,2020,male,0.0,High income,4.0,University of Texas at Arlington,The University of Texas at Arlington,Pub 4yr,Public 4yr,HSI,AANAPISI,Won Hwa Kim
39,3041,3539,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Department of Electrical Engineering and Computer Science, University of California Irvine, Irvine, CA, 92697, USA.",California,US-CA,pub.1124279943,ur.016057503651.68,Ehsan Masoumi Khalil,Abad,2020,male,0.0,High income,4.0,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Ehsan Masoumi Khalil Abad
41,3044,3542,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Department of Electrical Engineering and Computer Science, University of California Irvine, Irvine, CA, 92697, USA.",California,US-CA,pub.1124279943,ur.01222307713.33,Guann-Pyng,Li,2020,,,High income,4.0,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Guann-Pyng Li
42,3045,3543,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Department of Anesthesiology and Preoperative Care, School of Medicine, University of California Irvine, Irvine, CA, 92697, USA.",California,US-CA,pub.1124279943,ur.01040214570.34,Zeev N,Kain,2020,male,0.0,High income,4.0,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Zeev N Kain
43,3132,3630,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Anesthesiology, UC Irvine, Irvine, California, USA",California,US-CA,pub.1123089903,ur.01160710637.64,Joseph,Rinehart,2019,male,0.0,High income,4.0,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Joseph Rinehart
44,3133,3631,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Bioengineering, UC Irvine, Irvine, California, USA",California,US-CA,pub.1123089903,ur.01035566771.03,Christine,Lee,2019,female,1.0,High income,4.0,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Christine Lee
45,3135,3633,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Computer Sciences, UC Irvine, Irvine, California, USA",California,US-CA,pub.1123089903,ur.07756363077.99,Pierre,Baldi,2019,male,0.0,High income,4.0,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Pierre Baldi
46,3154,3652,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Department of Medical Imaging, University of Arizona, 1501 N. Campbell Ave, 85724, Tucson, AZ, USA",Arizona,US-AZ,pub.1122868128,ur.01355741725.39,Veronica A.,Arteaga,2019,female,1.0,High income,4.0,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Veronica A. Arteaga
47,3155,3653,Orlando,4167147.0,United States,US,grid.170430.1,University of Central Florida,"UCF College of Medicine, 6850 Lake Nona Blvd, 32827, Orlando, FL, USA",Florida,US-FL,pub.1122868128,ur.010745627757.20,Stephen,Borstelmann,2019,male,0.0,High income,4.0,University of Central Florida,University of Central Florida,Pub 4yr,Public 4yr,HSI,HSI,Stephen Borstelmann
48,3171,3669,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Department of Medical Imaging, University of Arizona, 1501 N. Campbell Ave, 85724, Tucson, AZ, USA",Arizona,US-AZ,pub.1122868128,ur.0605213726.46,Kavitha,Yaddanapudi,2019,female,1.0,High income,4.0,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Kavitha Yaddanapudi
49,3488,3994,New Brunswick,5101717.0,United States,US,grid.430387.b,"Rutgers, The State University of New Jersey","Departments of Pharmacology, Physiology, and Neuroscience & Medicine, Center for Emerging and Reemerging Pathogens, Rutgers UniversityNew Jersey Medical School, 185 South Orange Avenue, Newark, New Jersey, 07103, United States",New Jersey,US-NJ,pub.1111764521,ur.01315735040.98,Joel S.,Freundlich,2019,male,0.0,High income,4.0,"Rutgers, the State University of New Jersey",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Joel S. Freundlich
50,3567,4073,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Department of bioengineering, university of California Irvine, CA, USA",California,US-CA,pub.1107646353,ur.0755150717.92,Maxime,Cannesson,2018,male,0.0,High income,4.0,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Maxime Cannesson
52,3578,4084,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Department of bioengineering, university of California Irvine, CA, USA",California,US-CA,pub.1107646353,,The Acterrea Research,Group,2018,male,0.0,High income,4.0,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,The Acterrea Research Group
53,3658,4169,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Department of Biomedical Engineering, University of Arizona, Tucson, AZ",Arizona,US-AZ,pub.1107900500,ur.013642307163.37,Baran,Balkan,2018,male,0.0,High income,4.0,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Baran Balkan
54,3659,4170,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Department of Systems and Industrial Engineering with a minor in Biomedical Engineerin, University of Arizona, Tucson, AZ, 85721, USA",Arizona,US-AZ,pub.1107900500,ur.014437667563.63,Patrick,Essay,2018,male,0.0,High income,4.0,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Patrick Essay
55,3660,4171,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Department of Biomedical Engineering and the Department of Systems & Industrial Engineering Department, University of Arizona, Tucson, AZ, 85721, USA",Arizona,US-AZ,pub.1107900500,ur.011224253140.45,Vignesh,Subbian,2018,male,0.0,High income,4.0,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Vignesh Subbian
56,3835,4355,Albuquerque,5454711.0,United States,US,grid.266832.b,University of New Mexico,"Department of Medicine, University of New Mexico, Albuquerque, New Mexico, USA",New Mexico,US-NM,pub.1027704545,ur.01030003730.00,Subramani,Mani,2014,male,0.0,High income,4.0,University of New Mexico,University of New Mexico-Gallup Campus,Pub 2yr,Public 2yr,HSI,HSI,Subramani Mani
57,3841,4361,Albuquerque,5454711.0,United States,US,grid.266832.b,University of New Mexico,"Department of Medicine, University of New Mexico, Albuquerque, New Mexico, USA",New Mexico,US-NM,pub.1027704545,ur.0717704335.82,Randy,Carnevale,2014,male,0.0,High income,4.0,University of New Mexico,University of New Mexico-Gallup Campus,Pub 2yr,Public 2yr,HSI,HSI,Randy Carnevale
58,3848,4368,Riverside,5387877.0,United States,US,grid.266097.c,"University of California, Riverside","Department of Statistics, University of California, Los Angeles, USA",California,US-CA,pub.1022591053,ur.0730631333.59,Alan,Yuille,2010,male,0.0,High income,4.0,"University of California, Riverside",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Alan Yuille
59,4290,473,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151693778,ur.07670333237.88,Yixi,Xu,2022,female,1.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Yixi Xu
60,4292,475,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151693778,ur.011564476153.45,Anusua,Trivedi,2022,female,1.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Anusua Trivedi
61,4294,477,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151693778,ur.013256641017.33,Nicholas,Becker,2022,male,0.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Nicholas Becker
63,4297,480,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151693778,ur.015455302177.42,Marian,Blazes,2022,male,0.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Marian Blazes
64,4298,481,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151693778,ur.015133612304.37,Juan Lavista,Ferres,2022,male,0.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Juan Lavista Ferres
65,4300,483,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151693778,ur.012146326257.05,Aaron,Lee,2022,male,0.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Aaron Lee
66,4301,484,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151693778,,W.,Conrad Liles,2022,,,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,W. Conrad Liles
68,4303,486,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151693778,ur.01261022722.46,Pavan K.,Bhatraju,2022,male,0.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Pavan K. Bhatraju
71,4910,1222,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"University of Washington and Seattle Children’s Hospital, Seattle, Washington",Washington,US-WA,pub.1143401580,ur.01070501325.09,Shina,Menon,2022,male,0.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Shina Menon
72,5020,1354,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Division of Critical Care, Department of Anesthesiology, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.01333253307.98,Monica I,Lupei,2022,female,1.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Monica I Lupei
73,5021,1355,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Department of Laboratory Medicine and Pathology, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.07416441071.14,Danni,Li,2022,female,1.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Danni Li
74,5022,1356,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Division of Pulmonary and Critical Care, Department of Medicine, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.01322143060.24,Nicholas E,Ingraham,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Nicholas E Ingraham
75,5023,1357,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Division of General Internal Medicine, Department of Medicine, Section of Hospital Medicine, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.0613072474.76,Karyn D,Baum,2022,female,1.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Karyn D Baum
76,5024,1358,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Division of General Internal Medicine, Department of Medicine, Section of Hospital Medicine, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.0731146262.13,Bradley,Benson,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Bradley Benson
77,5025,1359,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Department of Emergency Medicine, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.01225534041.68,Michael,Puskarich,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Michael Puskarich
78,5026,1360,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Department of Emergency Medicine, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.010776047432.91,David,Milbrandt,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,David Milbrandt
79,5027,1361,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Department of Surgery, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.0710770014.21,Genevieve B,Melton,2022,female,1.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Genevieve B Melton
81,5029,1363,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Institute for Health Informatics, University of Minnesota, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.014543214257.68,Daren,Scheppmann,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Daren Scheppmann
82,5030,1364,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Division of General Internal Medicine, Department of Medicine, Section of Hospital Medicine, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.0763111557.00,Michael G,Usher,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Michael G Usher
83,5031,1365,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Department of Surgery, University of Minnesota Medical School, Minneapolis, Minnesota, United States of America.",Minnesota,US-MN,pub.1144430226,ur.01045103044.18,Christopher J,Tignanelli,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Christopher J Tignanelli
