PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33152770","Artificial Intelligence in the Intensive Care Unit","Greco M, Caruso PF, Cecconi M.","Semin Respir Crit Care Med. 2021 Feb;42(1):2-9. doi: 10.1055/s-0040-1719037. Epub 2020 Nov 5.","Greco M","Semin Respir Crit Care Med","2021","2020/11/05","","","10.1055/s-0040-1719037"
"36479189","Machine learning and synthetic outcome estimation for individualised antimicrobial cessation","Bolton WJ, Rawson TM, Hernandez B, Wilson R, Antcliffe D, Georgiou P, Holmes AH.","Front Digit Health. 2022 Nov 21;4:997219. doi: 10.3389/fdgth.2022.997219. eCollection 2022.","Bolton WJ","Front Digit Health","2022","2022/12/08","PMC9719971","","10.3389/fdgth.2022.997219"
"32985324","AI in the Intensive Care Unit: Up-to-Date Review","Nguyen D, Ngo B, vanSonnenberg E.","J Intensive Care Med. 2021 Oct;36(10):1115-1123. doi: 10.1177/0885066620956620. Epub 2020 Sep 28.","Nguyen D","J Intensive Care Med","2021","2020/09/28","","","10.1177/0885066620956620"
"34983496","Comparing machine learning algorithms for predicting COVID-19 mortality","Moulaei K, Shanbehzadeh M, Mohammadi-Taghiabad Z, Kazemi-Arpanahi H.","BMC Med Inform Decis Mak. 2022 Jan 4;22(1):2. doi: 10.1186/s12911-021-01742-0.","Moulaei K","BMC Med Inform Decis Mak","2022","2022/01/05","PMC8724649","","10.1186/s12911-021-01742-0"
"35041981","Evaluating pointwise reliability of machine learning prediction","Nicora G, Rios M, Abu-Hanna A, Bellazzi R.","J Biomed Inform. 2022 Mar;127:103996. doi: 10.1016/j.jbi.2022.103996. Epub 2022 Jan 15.","Nicora G","J Biomed Inform","2022","2022/01/18","","","10.1016/j.jbi.2022.103996"
"30591356","Big Data Analysis and Machine Learning in Intensive Care Units","Núñez Reiz A, Armengol de la Hoz MA, Sánchez García M.","Med Intensiva (Engl Ed). 2019 Oct;43(7):416-426. doi: 10.1016/j.medin.2018.10.007. Epub 2018 Dec 24.","Núñez Reiz A","Med Intensiva (Engl Ed)","2019","2018/12/29","","","10.1016/j.medin.2018.10.007"
"36380433","Machine Learning Model for the Prediction of Hemorrhage in Intensive Care Units","Kang S, Park C, Lee J, Yoon D.","Healthc Inform Res. 2022 Oct;28(4):364-375. doi: 10.4258/hir.2022.28.4.364. Epub 2022 Oct 31.","Kang S","Healthc Inform Res","2022","2022/11/16","PMC9672494","","10.4258/hir.2022.28.4.364"
"35902633","Prediction algorithm for ICU mortality and length of stay using machine learning","Iwase S, Nakada TA, Shimada T, Oami T, Shimazui T, Takahashi N, Yamabe J, Yamao Y, Kawakami E.","Sci Rep. 2022 Jul 28;12(1):12912. doi: 10.1038/s41598-022-17091-5.","Iwase S","Sci Rep","2022","2022/07/28","PMC9334583","","10.1038/s41598-022-17091-5"
"36449345","Artificial Intelligence in Intensive Care Medicine: Bibliometric Analysis","Tang R, Zhang S, Ding C, Zhu M, Gao Y.","J Med Internet Res. 2022 Nov 30;24(11):e42185. doi: 10.2196/42185.","Tang R","J Med Internet Res","2022","2022/11/30","PMC9752463","","10.2196/42185"
"35054030","Fluid Overload Phenotypes in Critical Illness-A Machine Learning Approach","Messmer AS, Moser M, Zuercher P, Schefold JC, Müller M, Pfortmueller CA.","J Clin Med. 2022 Jan 11;11(2):336. doi: 10.3390/jcm11020336.","Messmer AS","J Clin Med","2022","2022/01/21","PMC8780174","","10.3390/jcm11020336"
"34770432","Using Explainable Machine Learning to Improve Intensive Care Unit Alarm Systems","González-Nóvoa JA, Busto L, Rodríguez-Andina JJ, Fariña J, Segura M, Gómez V, Vila D, Veiga C.","Sensors (Basel). 2021 Oct 27;21(21):7125. doi: 10.3390/s21217125.","González-Nóvoa JA","Sensors (Basel)","2021","2021/11/13","PMC8587076","","10.3390/s21217125"
"35139181","A recurrent machine learning model predicts intracranial hypertension in neurointensive care patients","Schweingruber N, Mader MMD, Wiehe A, Röder F, Göttsche J, Kluge S, Westphal M, Czorlich P, Gerloff C.","Brain. 2022 Aug 27;145(8):2910-2919. doi: 10.1093/brain/awab453.","Schweingruber N","Brain","2022","2022/02/09","PMC9486888","","10.1093/brain/awab453"
"34757993","Advances in artificial intelligence and deep learning systems in ICU-related acute kidney injury","Ozrazgat-Baslanti T, Loftus TJ, Ren Y, Ruppert MM, Bihorac A.","Curr Opin Crit Care. 2021 Dec 1;27(6):560-572. doi: 10.1097/MCC.0000000000000887.","Ozrazgat-Baslanti T","Curr Opin Crit Care","2021","2021/11/10","PMC8783984","NIHMS1739261","10.1097/MCC.0000000000000887"
"34811938","Chemoinformatics and Machine Learning Approaches for Identifying Antiviral Compounds","John L, Soujanya Y, Mahanta HJ, Narahari Sastry G.","Mol Inform. 2022 Apr;41(4):e2100190. doi: 10.1002/minf.202100190. Epub 2021 Nov 23.","John L","Mol Inform","2022","2021/11/23","","","10.1002/minf.202100190"
"35601842","Pandemic lockdown, isolation, and exit policies based on machine learning predictions","Evgeniou T, Fekom M, Ovchinnikov A, Porcher R, Pouchol C, Vayatis N.","Prod Oper Manag. 2022 May 11:10.1111/poms.13726. doi: 10.1111/poms.13726. Online ahead of print.","Evgeniou T","Prod Oper Manag","2022","2022/05/23","PMC9115407","","10.1111/poms.13726"
"33538134","Machine-Learning-Based Approach to Differential Diagnosis in Tuberculous and Viral Meningitis","Jeong YS, Jeon M, Park JH, Kim MC, Lee E, Park SY, Lee YM, Choi S, Park SY, Park KH, Kim SH, Jeon MH, Choo EJ, Kim TH, Lee MS, Kim T.","Infect Chemother. 2021 Mar;53(1):53-62. doi: 10.3947/ic.2020.0104. Epub 2020 Dec 11.","Jeong YS","Infect Chemother","2021","2021/02/04","PMC8032912","","10.3947/ic.2020.0104"
"35337363","Artificial Intelligence in Infection Management in the ICU","De Corte T, Van Hoecke S, De Waele J.","Crit Care. 2022 Mar 22;26(1):79. doi: 10.1186/s13054-022-03916-2.","De Corte T","Crit Care","2022","2022/03/26","PMC8951654","","10.1186/s13054-022-03916-2"
"35521216","Statistical Analysis and Machine Learning Prediction of Disease Outcomes for COVID-19 and Pneumonia Patients","Zhao Y, Zhang R, Zhong Y, Wang J, Weng Z, Luo H, Chen C.","Front Cell Infect Microbiol. 2022 Apr 19;12:838749. doi: 10.3389/fcimb.2022.838749. eCollection 2022.","Zhao Y","Front Cell Infect Microbiol","2022","2022/05/06","PMC9063041","","10.3389/fcimb.2022.838749"
"34943479","Predicting Prolonged Length of ICU Stay through Machine Learning","Wu J, Lin Y, Li P, Hu Y, Zhang L, Kong G.","Diagnostics (Basel). 2021 Nov 30;11(12):2242. doi: 10.3390/diagnostics11122242.","Wu J","Diagnostics (Basel)","2021","2021/12/24","PMC8700580","","10.3390/diagnostics11122242"
"33250280","A Machine Learning decision-making tool for extubation in Intensive Care Unit patients","Fabregat A, Magret M, Ferré JA, Vernet A, Guasch N, Rodríguez A, Gómez J, Bodí M.","Comput Methods Programs Biomed. 2021 Mar;200:105869. doi: 10.1016/j.cmpb.2020.105869. Epub 2020 Nov 24.","Fabregat A","Comput Methods Programs Biomed","2021","2020/11/30","","","10.1016/j.cmpb.2020.105869"
"29130079","Enabling Machine Learning in Critical Care","Pollard TJ, Celi LA.","ICU Manag Pract. 2017 Fall;17(3):198-199.","Pollard TJ","ICU Manag Pract","2017","2017/11/14","PMC5679276","NIHMS913172",""
"29957040","Boosting Clinical Decision-making: Machine Learning for Intensive Care Unit Discharge","Cosgriff CV, Celi LA, Sauer CM.","Ann Am Thorac Soc. 2018 Jul;15(7):804-805. doi: 10.1513/AnnalsATS.201803-205ED.","Cosgriff CV","Ann Am Thorac Soc","2018","2018/06/30","","","10.1513/AnnalsATS.201803-205ED"
"33491152","[Artificial intelligence in neurocritical care]","Schweingruber N, Gerloff C.","Nervenarzt. 2021 Feb;92(2):115-126. doi: 10.1007/s00115-020-01050-4. Epub 2021 Jan 24.","Schweingruber N","Nervenarzt","2021","2021/01/25","PMC7829030","","10.1007/s00115-020-01050-4"
"36015899","An Automated Machine Learning Approach for Real-Time Fault Detection and Diagnosis","Leite D, Martins A Jr, Rativa D, De Oliveira JFL, Maciel AMA.","Sensors (Basel). 2022 Aug 17;22(16):6138. doi: 10.3390/s22166138.","Leite D","Sensors (Basel)","2022","2022/08/26","PMC9413480","","10.3390/s22166138"
"30281572","Artificial Intelligence: An Inkling of Caution","Wetzel RC, Aczon M, Ledbetter DR.","Pediatr Crit Care Med. 2018 Oct;19(10):1004-1005. doi: 10.1097/PCC.0000000000001700.","Wetzel RC","Pediatr Crit Care Med","2018","2018/10/04","","","10.1097/PCC.0000000000001700"
"32713443","Machine Learning to Support Hemodynamic Intervention in the Neonatal Intensive Care Unit","Van Laere D, Meeus M, Beirnaert C, Sonck V, Laukens K, Mahieu L, Mulder A.","Clin Perinatol. 2020 Sep;47(3):435-448. doi: 10.1016/j.clp.2020.05.002. Epub 2020 May 20.","Van Laere D","Clin Perinatol","2020","2020/07/28","","","10.1016/j.clp.2020.05.002"
"36171970","Early prediction of hypothermia in pediatric intensive care units using machine learning","Singh P, Nagori A, Lodha R, Sethi T.","Front Physiol. 2022 Sep 2;13:921884. doi: 10.3389/fphys.2022.921884. eCollection 2022.","Singh P","Front Physiol","2022","2022/09/29","PMC9511412","","10.3389/fphys.2022.921884"
"33625875","A Machine Learning Approach to Predict Deep Venous Thrombosis Among Hospitalized Patients","Ryan L, Mataraso S, Siefkas A, Pellegrini E, Barnes G, Green-Saxena A, Hoffman J, Calvert J, Das R.","Clin Appl Thromb Hemost. 2021 Jan-Dec;27:1076029621991185. doi: 10.1177/1076029621991185.","Ryan L","Clin Appl Thromb Hemost","2021","2021/02/24","PMC7907939","","10.1177/1076029621991185"
"34268728","Seizure detection using wearable sensors and machine learning: Setting a benchmark","Tang J, El Atrache R, Yu S, Asif U, Jackson M, Roy S, Mirmomeni M, Cantley S, Sheehan T, Schubach S, Ufongene C, Vieluf S, Meisel C, Harrer S, Loddenkemper T.","Epilepsia. 2021 Aug;62(8):1807-1819. doi: 10.1111/epi.16967. Epub 2021 Jul 15.","Tang J","Epilepsia","2021","2021/07/16","PMC8457135","","10.1111/epi.16967"
"34794627","Enhancing Diagnosis Through Technology: Decision Support, Artificial Intelligence, and Beyond","El-Kareh R, Sittig DF.","Crit Care Clin. 2022 Jan;38(1):129-139. doi: 10.1016/j.ccc.2021.08.004.","El-Kareh R","Crit Care Clin","2022","2021/11/19","PMC8608279","NIHMS1750702","10.1016/j.ccc.2021.08.004"
"34591016","A Machine Learning Sepsis Prediction Algorithm for Intended Intensive Care Unit Use (NAVOY Sepsis): Proof-of-Concept Study","Persson I, Östling A, Arlbrandt M, Söderberg J, Becedas D.","JMIR Form Res. 2021 Sep 30;5(9):e28000. doi: 10.2196/28000.","Persson I","JMIR Form Res","2021","2021/09/30","PMC8517825","","10.2196/28000"
"35596167","Predictive modeling for COVID-19 readmission risk using machine learning algorithms","Shanbehzadeh M, Yazdani A, Shafiee M, Kazemi-Arpanahi H.","BMC Med Inform Decis Mak. 2022 May 20;22(1):139. doi: 10.1186/s12911-022-01880-z.","Shanbehzadeh M","BMC Med Inform Decis Mak","2022","2022/05/20","PMC9122247","","10.1186/s12911-022-01880-z"
"35788091","Risk assessment of ICU patients through deep learning technique: A big data approach","Huang X, Shan S, Khan YA, Salem S, Mohamed A, Attia EA.","J Glob Health. 2022 May 30;12:04044. doi: 10.7189/jogh.12.04044.","Huang X","J Glob Health","2022","2022/07/05","PMC9253858","","10.7189/jogh.12.04044"
"35080996","Machine Learning Approaches-Driven for Mortality Prediction for Patients Undergoing Craniotomy in ICU","Yu R, Wang S, Xu J, Wang Q, He X, Li J, Shang X, Chen H, Liu Y.","Brain Inj. 2021 Dec 6;35(14):1658-1664. doi: 10.1080/02699052.2021.2008491. Epub 2022 Jan 26.","Yu R","Brain Inj","2021","2022/01/26","","","10.1080/02699052.2021.2008491"
"34115013","Predicting ventilator-associated pneumonia with machine learning","Giang C, Calvert J, Rahmani K, Barnes G, Siefkas A, Green-Saxena A, Hoffman J, Mao Q, Das R.","Medicine (Baltimore). 2021 Jun 11;100(23):e26246. doi: 10.1097/MD.0000000000026246.","Giang C","Medicine (Baltimore)","2021","2021/06/11","PMC8202554","","10.1097/MD.0000000000026246"
"34764619","Machine learning techniques to predict different levels of hospital care of CoVid-19","Hernández-Pereira E, Fontenla-Romero O, Bolón-Canedo V, Cancela-Barizo B, Guijarro-Berdiñas B, Alonso-Betanzos A.","Appl Intell (Dordr). 2022;52(6):6413-6431. doi: 10.1007/s10489-021-02743-2. Epub 2021 Sep 10.","Hernández-Pereira E","Appl Intell (Dordr)","2022","2021/11/12","PMC8429889","","10.1007/s10489-021-02743-2"
"35288579","A hybrid machine learning/deep learning COVID-19 severity predictive model from CT images and clinical data","Chieregato M, Frangiamore F, Morassi M, Baresi C, Nici S, Bassetti C, Bnà C, Galelli M.","Sci Rep. 2022 Mar 14;12(1):4329. doi: 10.1038/s41598-022-07890-1.","Chieregato M","Sci Rep","2022","2022/03/15","PMC8919158","","10.1038/s41598-022-07890-1"
"32403049","Exploration of critical care data by using unsupervised machine learning","Hyun S, Kaewprag P, Cooper C, Hixon B, Moffatt-Bruce S.","Comput Methods Programs Biomed. 2020 Oct;194:105507. doi: 10.1016/j.cmpb.2020.105507. Epub 2020 Apr 28.","Hyun S","Comput Methods Programs Biomed","2020","2020/05/14","","","10.1016/j.cmpb.2020.105507"
"33019217","Supervised Machine-Learning Algorithms in Real-time Prediction of Hypotensive Events","Moghadam MC, Masoumi E, Bagherzadeh N, Ramsingh D, Kain ZN.","Annu Int Conf IEEE Eng Med Biol Soc. 2020 Jul;2020:5468-5471. doi: 10.1109/EMBC44109.2020.9175451.","Moghadam MC","Annu Int Conf IEEE Eng Med Biol Soc","2020","2020/10/06","","","10.1109/EMBC44109.2020.9175451"
"35742138","Predicting the Mortality of ICU Patients by Topic Model with Machine-Learning Techniques","Chiu CC, Wu CM, Chien TN, Kao LJ, Qiu JT.","Healthcare (Basel). 2022 Jun 11;10(6):1087. doi: 10.3390/healthcare10061087.","Chiu CC","Healthcare (Basel)","2022","2022/06/24","PMC9222812","","10.3390/healthcare10061087"
